id,text,normalized_query,lemma,pos,tense,person,polarity,typo_score,semantic_score,fuzzy_target,fuzzy_score,label
1,geliyorum,geliyorum,gel,VERB,PROG,1SG,POS,0.02,0.91,geliyorum,0.99,1
2,geliyorm,geliyorum,gel,VERB,PROG,1SG,POS,0.18,0.90,geliyorum,0.87,1
3,gelicek,gelecek,gel,VERB,FUT,3SG,POS,0.21,0.88,gelecek,0.85,1
4,gitmeyeceğim,gitmeyecegim,git,VERB,FUT,1SG,NEG,0.03,0.92,gitmeyeceğim,0.99,1
5,gitmiycem,gitmeyeceğim,git,VERB,FUT,1SG,NEG,0.27,0.89,gitmeyeceğim,0.82,1
6,koşuyorum,kosuyorum,koş,VERB,PROG,1SG,POS,0.01,0.86,koşuyorum,0.99,1
7,koşyorm,koşuyorum,koş,VERB,PROG,1SG,POS,0.25,0.84,koşuyorum,0.80,1
8,yapacağım,yapacagim,yap,VERB,FUT,1SG,POS,0.02,0.93,yapacağım,0.99,1
9,yapcam,yapacağım,yap,VERB,FUT,1SG,POS,0.29,0.90,yapacağım,0.78,1
10,yaptım,yaptim,yap,VERB,PAST,1SG,POS,0.01,0.95,yaptım,0.99,1
11,yapdim,yaptım,yap,VERB,PAST,1SG,POS,0.19,0.92,yaptım,0.88,1
12,okuyorum,okuyorum,oku,VERB,PROG,1SG,POS,0.01,0.90,okuyorum,0.99,1
13,okuyom,okuyorum,oku,VERB,PROG,1SG,POS,0.23,0.88,okuyorum,0.84,1
14,okudum,okudum,oku,VERB,PAST,1SG,POS,0.01,0.93,okudum,0.99,1
15,okudm,okudum,oku,VERB,PAST,1SG,POS,0.22,0.90,okudum,0.86,1
16,gelemez,gelemez,gel,VERB,AOR,3SG,NEG,0.01,0.87,gelemez,0.99,1
17,gelmez,gelmez,gel,VERB,AOR,3SG,NEG,0.02,0.86,gelemez,0.93,0
18,gelir,gelir,gel,VERB,AOR,3SG,POS,0.01,0.89,gelir,0.99,1
19,gelr,gelir,gel,VERB,AOR,3SG,POS,0.26,0.87,gelir,0.81,1
20,koşacak,kosacak,koş,VERB,FUT,3SG,POS,0.02,0.88,koşacak,0.99,1
21,koşcak,koşacak,koş,VERB,FUT,3SG,POS,0.28,0.86,koşacak,0.79,1
22,yazıyorum,yaziyorum,yaz,VERB,PROG,1SG,POS,0.01,0.92,yazıyorum,0.99,1
23,yazıyom,yazıyorum,yaz,VERB,PROG,1SG,POS,0.24,0.89,yazıyorum,0.83,1
24,yazdım,yazdim,yaz,VERB,PAST,1SG,POS,0.01,0.94,yazdım,0.99,1
25,yazdim,yazdım,yaz,VERB,PAST,1SG,POS,0.18,0.92,yazdım,0.90,1
26,anlıyorum,anliyorum,anla,VERB,PROG,1SG,POS,0.01,0.93,anlıyorum,0.99,1
27,anliyom,anlıyorum,anla,VERB,PROG,1SG,POS,0.25,0.90,anlıyorum,0.82,1
28,anladım,anladim,anla,VERB,PAST,1SG,POS,0.01,0.95,anladım,0.99,1
29,anladm,anladım,anla,VERB,PAST,1SG,POS,0.23,0.92,anladım,0.86,1
30,gelmeyeceksin,gelmeyeceksin,gel,VERB,FUT,2SG,NEG,0.01,0.91,gelmeyeceksin,0.99,1
31,gelmicen,gelmeyeceksin,gel,VERB,FUT,2SG,NEG,0.31,0.88,gelmeyeceksin,0.77,1
32,koşuyorsun,koşuyorsun,koş,VERB,PROG,2SG,POS,0.01,0.90,koşuyorsun,0.99,1
33,koşuyon,koşuyorsun,koş,VERB,PROG,2SG,POS,0.29,0.87,koşuyorsun,0.80,1
34,yapıyorsun,yapiyorsun,yap,VERB,PROG,2SG,POS,0.01,0.93,yapıyorsun,0.99,1
35,yapıyon,yapıyorsun,yap,VERB,PROG,2SG,POS,0.27,0.90,yapıyorsun,0.81,1
36,okuyacaksın,okuyacaksin,oku,VERB,FUT,2SG,POS,0.01,0.92,okuyacaksın,0.99,1
37,okuycan,okuyacaksın,oku,VERB,FUT,2SG,POS,0.33,0.89,okuyacaksın,0.76,1
38,geleceğiz,gelecegiz,gel,VERB,FUT,1PL,POS,0.01,0.91,geleceğiz,0.99,1
39,gelcez,geleceğiz,gel,VERB,FUT,1PL,POS,0.30,0.88,geleceğiz,0.78,1
40,koşacağız,koşacagiz,koş,VERB,FUT,1PL,POS,0.01,0.89,koşacağız,0.99,1
41,koşcaz,koşacağız,koş,VERB,FUT,1PL,POS,0.28,0.86,koşacağız,0.80,1
42,yapacağız,yapacagiz,yap,VERB,FUT,1PL,POS,0.01,0.92,yapacağız,0.99,1
43,yapcaz,yapacağız,yap,VERB,FUT,1PL,POS,0.27,0.90,yapacağız,0.81,1
44,okuyacağız,okuyacagiz,oku,VERB,FUT,1PL,POS,0.02,0.91,okuyacağız,0.98,1
45,okucaz,okuyacağız,oku,VERB,FUT,1PL,POS,0.31,0.88,okuyacağız,0.77,1
46,geliyorlar,geliyorlar,gel,VERB,PROG,3PL,POS,0.01,0.90,geliyorlar,0.99,1
47,geliyolar,geliyorlar,gel,VERB,PROG,3PL,POS,0.29,0.88,geliyorlar,0.80,1
48,koşuyorlar,koşuyorlar,koş,VERB,PROG,3PL,POS,0.01,0.88,koşuyorlar,0.99,1
49,koşuyolar,koşuyorlar,koş,VERB,PROG,3PL,POS,0.28,0.86,koşuyorlar,0.81,1
50,yapıyorlar,yapiyorlar,yap,VERB,PROG,3PL,POS,0.01,0.91,yapıyorlar,0.99,1
51,yapıyolar,yapıyorlar,yap,VERB,PROG,3PL,POS,0.26,0.89,yapıyorlar,0.82,1
52,okuyorlar,okuyorlar,oku,VERB,PROG,3PL,POS,0.01,0.92,okuyorlar,0.99,1
53,okuyolar,okuyorlar,oku,VERB,PROG,3PL,POS,0.30,0.89,okuyorlar,0.79,1
54,gelecekler,gelecekler,gel,VERB,FUT,3PL,POS,0.01,0.90,gelecekler,0.99,1
55,gelcekler,gelecekler,gel,VERB,FUT,3PL,POS,0.28,0.88,gelecekler,0.81,1
56,koşacaklar,koşacaklar,koş,VERB,FUT,3PL,POS,0.01,0.89,koşacaklar,0.99,1
57,koşcaklar,koşacaklar,koş,VERB,FUT,3PL,POS,0.30,0.87,koşacaklar,0.79,1
58,yapacaklar,yapacaklar,yap,VERB,FUT,3PL,POS,0.01,0.91,yapacaklar,0.99,1
59,yapcaklar,yapacaklar,yap,VERB,FUT,3PL,POS,0.29,0.89,yapacaklar,0.80,1
60,okuyacaklar,okuyacaklar,oku,VERB,FUT,3PL,POS,0.01,0.92,okuyacaklar,0.99,1
61,okucaklar,okuyacaklar,oku,VERB,FUT,3PL,POS,0.32,0.88,okuyacaklar,0.77,1
